# This file was automatically generated from the https://github.com/Belarus/GrammarDB
# data (Grammar Database of Belarusian language) using the RELEASE-202309 tag.
# Creative Commons Attribution-ShareAlike 4.0 International License.
#
# Uses UTF-8 format with U+0301 stress marks and U+2BC apostrophes. Each line lists
# a pair of alternative spelling variants of the same word delimited by '|'.
# Intended to be used by ebook dictionaries. If these two are not separate headwords
# in a dictionary, then it makes sense to link them together.
#
Ілья́|Ілля́
заю́рыцца|заюры́цца
заюры́ць|заю́рыць
заўка́м|заўко́м
заўка́мавец|заўко́мавец
заўка́маўскі|заўко́маўскі
збра́тацца|збрата́цца
збытавы́|збы́тавы
зверанё́|звераня́
зга́мтацца|згамта́цца
зга́мтаць|згамта́ць
зграма́дзіцца|зграмадзі́цца
зграма́дзіць|зграмадзі́ць
землеўпарадкава́льны|землеўпара́дкавальны
злучны́|злу́чны
злыга́ны|злы́ганы
змадэлява́ць|змадэлі́раваць
змеянё́|змеяня́
змы́ўны|змыўны́
зну́дзіць|знудзі́ць
знудзі́цца|зну́дзіцца
зрыгну́ты|зры́гнуты
зрэ́дчас|зрэ́дзьчас
зу́лу|зулу́
зубавы́|зу́бавы
зубранё́|зубраня́
зымшы́ць|зʼімшы́ць
зымшэ́лы|зʼімшэ́лы
зымшэ́ць|зʼімшэ́ць
зына́чванне|зʼіна́чванне
зына́чвацца|зʼіна́чвацца
зына́чваць|зʼіна́чваць
зына́чыцца|зʼіна́чыцца
зына́чыць|зʼіна́чыць
зысці́|зыйсці́
зысці́ся|зыйсці́ся
зязюлянё́|зязюляня́
зімо́й|зімо́ю
к|ка́
ка́заны|каза́ны
ка́лій|ка́ль
ка́мфара|камфара́
ка́ртар|ка́ртэр
ка́рцар|ка́рцэр
ка́рцарны|ка́рцэрны
ка́тар|ка́тэр
ка́тарны|ка́тэрны
ка́тарнік|ка́тэрнік
ка́тарскі|ката́рскі
каагулява́цца|каагулі́равацца
каагулява́ць|каагулі́раваць
каге́рар|каге́рэр
казлянё́|казляня́
казулянё́|казуляня́
калашына́|калашы́на
калео́птар|калео́птэр
каля́|ла́
каля́|ля́
калявушны́|каляву́шны
каментава́цца|каменці́равацца
каментава́ць|каменці́раваць
кампʼю́тар|кампʼю́тэр
кампʼю́тарны|кампʼю́тэрны
кампʼютарыза́цыя|кампʼютэрыза́цыя
кампо́сны|кампо́стны
камса́рг|камсо́рг
камса́ргаўскі|камсо́ргаўскі
канвертава́нне|канверці́раванне
кансамэ́|кансаме́
канстытуява́нне|канстытуі́раванне
канстытуява́цца|канстытуі́равацца
канстытуява́ць|канстытуі́раваць
кантра́снасць|кантра́стнасць
кантра́сны|кантра́стны
кантрастава́ць|кантрасці́раваць
канянё́|каняня́
капры́чыа|капры́чыо
капё́р|ка́пар
капі́раванне|капірава́нне
капі́раваны|капірава́ны
капірава́цца|капі́равацца
капірава́цца|капіява́цца
капірава́ць|капі́раваць
капірава́ць|капіява́ць
капіту́л|капі́тул
каро́тка|ко́ратка
карумпі́раваць|карумпава́ць
каршачанё́|каршачаня́
каршунянё́|каршуняня́
катэ́тар|катэ́тэр
катэтарыза́цыя|катэтэрыза́цыя
катэтарызава́ць|катэтэрызава́ць
кахе́ксія|кахексі́я
кацянё́|кацяня́
качанё́|качаня́
кашча́васць|кашчава́сць
каўза́льнасць|кауза́льнасць
каўза́льны|кауза́льны
каўцкія́нец|кауцкія́нец
каўцкія́нскі|кауцкія́нскі
каўцкія́нства|кауцкія́нства
квінтэсэ́нцыя|квінтэсе́нцыя
ке́мпінг|кэ́мпінг
ке́мпінгавы|кэ́мпінгавы
ке́нарка|кена́рка
